id_product;product_name;attribute_name;attribute_value;Reference;wholesale_price;price;quantity;default_on;
"2063";"FarmFresh Lichi";"Quantity";"0.5 kg";"AA20632150";"124.200000";"180.000000";"0";"1";
"2063";"FarmFresh Lichi";"Quantity";"0.25 kg";"AA20632252";"62.100000";"90.000000";"0";"0";
"2064";"FarmFresh  Plums";"Quantity";"3 kg";"AA20642050";"0.000000";"624.000000";"50";"0";
"2064";"FarmFresh  Plums";"Quantity";"0.5 kg";"AA20642151";"0.000000";"104.000000";"50";"0";
"2064";"FarmFresh  Plums";"Quantity";"0.25 kg";"AA20642253";"0.000000";"52.000000";"48";"1";
"2065";"FarmFresh Dhaniya Leaf - Kothimbir";"Numbers";"5 bunch";"AA20652051";"63.000000";"90.000000";"50";"0";
"2065";"FarmFresh Dhaniya Leaf - Kothimbir";"Numbers";"2 bunch";"AA20652152";"26.000000";"36.000000";"49";"0";
"2065";"FarmFresh Dhaniya Leaf - Kothimbir";"Numbers";"1 bunch";"AA20652254";"11.000000";"18.000000";"38";"1";
"2066";"FarmFresh Pudina";"Numbers";"5 bunch";"AA20662052";"40.500000";"45.000000";"50";"0";
"2066";"FarmFresh Pudina";"Numbers";"2 bunch";"AA20662153";"16.200000";"18.000000";"50";"0";
"2066";"FarmFresh Pudina";"Numbers";"1 bunch";"AA20662255";"8.100000";"9.000000";"47";"1";
"2067";"FarmFresh KadiPatta";"Numbers";"5 bunch";"AA20672053";"18.000000";"20.000000";"50";"0";
"2067";"FarmFresh KadiPatta";"Numbers";"2 bunch";"AA20672154";"7.200000";"8.000000";"50";"0";
"2067";"FarmFresh KadiPatta";"Numbers";"1 bunch";"AA20672256";"3.600000";"4.000000";"45";"1";
"2068";"FarmFresh Palak - Spinach";"Numbers";"5 bunch";"AA20682054";"63.000000";"80.000000";"50";"0";
"2068";"FarmFresh Palak - Spinach";"Numbers";"2 bunch";"AA20682155";"25.200000";"32.000000";"48";"0";
"2068";"FarmFresh Palak - Spinach";"Numbers";"1 bunch";"AA20682257";"12.600000";"16.000000";"41";"1";
"2069";"FarmFresh Fenugreek Leaves - Methi";"Numbers";"5 bunch";"AA20692055";"67.500000";"90.000000";"50";"0";
"2069";"FarmFresh Fenugreek Leaves - Methi";"Numbers";"2 bunch";"AA20692156";"27.000000";"36.000000";"49";"0";
