id_product;active;product_name;manufacturer;attribute_name;wholesale_price;price;quantity;
"163";"1";"Knorr Chinese Manchurian";"Knorr";"55 gm";"36.000000";"40.000000";"50";
"164";"0";"Knorr Chinese Schezuan";"Knorr";"";"";"";"";
"165";"1";"Pantene Pro-V Total Damage Care Conditioner";"Pantene";"75 ml";"57.600000";"64.000000";"50";
"166";"1";"Cadbury Bournvita - Jar Package";"Cadbury";"75 gm";"27.000000";"30.000000";"45";
"166";"1";"Cadbury Bournvita - Jar Package";"Cadbury";"500 gm";"175.500000";"195.000000";"50";
"167";"1";"Kissan No Onion No Garlic Sauce Bottle";"Kissan";"1 kg";"119.700000";"133.000000";"50";
"167";"1";"Kissan No Onion No Garlic Sauce Bottle";"Kissan";"500 gm";"82.800000";"92.000000";"50";
"167";"1";"Kissan No Onion No Garlic Sauce Bottle";"Kissan";"200 gm";"43.200000";"48.000000";"50";
"168";"1";"Cadbury Bournvita Li'l Champs - Jar Package";"Cadbury";"500 gm";"225.000000";"250.000000";"49";
"168";"1";"Cadbury Bournvita Li'l Champs - Jar Package";"Cadbury";"200 gm";"112.500000";"125.000000";"50";
"169";"1";"Knorr Classic Creamy Mushroom Soup";"Knorr";"41 gm";"40.500000";"45.000000";"50";
"170";"1";"Kissan Fresh Tomato Ketchup Bottle";"Kissan";"1 kg";"119.700000";"133.000000";"49";
"171";"1";"Maggi Hot & Sweet - Tomato Chilli Sauce Bottle";"Maggi";"200 gm";"45.900000";"51.000000";"49";
"171";"1";"Maggi Hot & Sweet - Tomato Chilli Sauce Bottle";"Maggi";"1 kg";"119.700000";"133.000000";"50";
"173";"1";"Knorr Chinese - Sweet Corn Veg Soup";"Knorr";"47 gm";"36.000000";"40.000000";"50";
"173";"1";"Knorr Chinese - Sweet Corn Veg Soup";"Knorr";"15 gm";"9.000000";"10.000000";"50";
"174";"1";"Cadbury Bournvita 5 Star Magic - Jar Package";"Cadbury";"500 gm";"193.500000";"215.000000";"50";
"175";"1";"Knorr Chinese - Hot & Sour Chicken Soup ";"Knorr";"44 gm";"40.500000";"45.000000";"50";
"176";"1";"Boost Health Drink - Jar Package";"Boost";"500 gm";"167.400000";"186.000000";"50";
"176";"1";"Boost Health Drink - Jar Package";"Boost";"200 gm";"81.000000";"90.000000";"50";
"177";"1";"Knorr Classic Thick Tomato Soup ";"Knorr";"55 gm";"36.000000";"40.000000";"50";
"178";"1";"Pantene Pro-V Hair Fall Control Conditioner";"Pantene";"180 ml";"105.300000";"117.000000";"50";
"179";"1";"Dabur Chyawanprash - Jar Package";"Dabur";"500 gm";"136.800000";"152.000000";"50";
"180";"1";"Knorr Classic Tomato Noodle Soup";"Knorr";"52 gm";"40.500000";"45.000000";"50";
"181";"1";"Dabur ChyawanPrakash - Sugar Free";"Dabur";"500 gm";"144.000000";"160.000000";"50";
"181";"1";"Dabur ChyawanPrakash - Sugar Free";"Dabur";"900 gm";"270.000000";"300.000000";"50";
"182";"1";"Weikfield Green Chilli Sauce - Bottle";"WeikField";"200 gm";"34.200000";"38.000000";"49";
