id_product;product_name;attribute_name;attribute_value;Reference;wholesale_price;price;quantity;category;default_on;
"85";"Brooke Bond Taj Mahal - Green tea bag";"Numbers";"10 bags";"AAAA852579";"54.000000";"60.000000";"50";"Tea Bags";"1";
"85";"Brooke Bond Taj Mahal - Green tea bag";"Numbers";"25 bags";"AAAA852578";"135.000000";"150.000000";"50";"Tea Bags";"0";
"86";"Brooke Bond Taj Mahal";"Quantity";"1 kg";"AAAAAA8683";"386.100000";"429.000000";"50";"Tea";"0";
"86";"Brooke Bond Taj Mahal";"Quantity";"100 gm";"AAAAAA8680";"44.100000";"49.000000";"50";"Tea";"1";
"86";"Brooke Bond Taj Mahal";"Quantity";"250 gm";"AAAAAA8681";"103.500000";"115.000000";"50";"Tea";"0";
"86";"Brooke Bond Taj Mahal";"Quantity";"500 gm";"AAAAAA8682";"192.600000";"214.000000";"50";"Tea";"0";
"86";"Brooke Bond Taj Mahal";"Quantity";"1 kg";"AAAAAA8683";"386.100000";"429.000000";"50";"Tea";"0";
"86";"Brooke Bond Taj Mahal";"Quantity";"100 gm";"AAAAAA8680";"44.100000";"49.000000";"50";"Tea";"1";
"86";"Brooke Bond Taj Mahal";"Quantity";"250 gm";"AAAAAA8681";"103.500000";"115.000000";"50";"Tea";"0";
"86";"Brooke Bond Taj Mahal";"Quantity";"500 gm";"AAAAAA8682";"192.600000";"214.000000";"50";"Tea";"0";
"87";"Wagh Bakri Premium Leaf Tea - Carton Pack";"Quantity";"250 gm";"AAAA872344";"91.800000";"102.000000";"50";"Tea";"1";
"87";"Wagh Bakri Premium Leaf Tea - Carton Pack";"Quantity";"250 gm";"AAAA872344";"91.800000";"102.000000";"50";"Tea";"1";
"88";"Wagh Bakri Premium Leaf Tea - Plastic Container";"Quantity";"250 gm";"AAAAAA8884";"90.000000";"100.000000";"50";"Beverages";"1";
"89";"Girnar Green Tea ";"Quantity";"100 gm";"AAAAAA8985";"81.000000";"90.000000";"50";"Green Tea";"1";
"89";"Girnar Green Tea ";"Quantity";"100 gm";"AAAAAA8985";"81.000000";"90.000000";"50";"Green Tea";"1";
"90";"Girnar Masala Chai - Kesari";"Numbers";"25 bags";"AAAA902345";"58.500000";"65.000000";"50";"Tea";"1";
"90";"Girnar Masala Chai - Kesari";"Numbers";"25 bags";"AAAA902345";"58.500000";"65.000000";"50";"Tea";"1";
"91";"Lipton Darjeeling Tea";"Quantity";"500 gm";"AAAAAA9186";"589.500000";"655.000000";"50";"Tea";"1";
"91";"Lipton Darjeeling Tea";"Quantity";"250 gm";"AAAAAA9187";"298.800000";"332.000000";"50";"Tea";"0";
"91";"Lipton Darjeeling Tea";"Quantity";"500 gm";"AAAAAA9186";"589.500000";"655.000000";"50";"Tea";"1";
"91";"Lipton Darjeeling Tea";"Quantity";"250 gm";"AAAAAA9187";"298.800000";"332.000000";"50";"Tea";"0";
"92";"Tata Tea Premium - Plastic Package";"Quantity";"250 gm";"AAAAAA9289";"91.800000";"102.000000";"50";"Tea";"0";
"92";"Tata Tea Premium - Plastic Package";"Quantity";"500 gm";"AAAA922346";"176.400000";"196.000000";"50";"Tea";"0";
"92";"Tata Tea Premium - Plastic Package";"Quantity";"250 gm";"AAAA922347";"91.800000";"102.000000";"50";"Tea";"0";
"92";"Tata Tea Premium - Plastic Package";"Quantity";"500 gm";"AAAAAA9288";"179.100000";"199.000000";"50";"Tea";"1";
"92";"Tata Tea Premium - Plastic Package";"Quantity";"250 gm";"AAAAAA9289";"91.800000";"102.000000";"50";"Tea";"0";
"92";"Tata Tea Premium - Plastic Package";"Quantity";"500 gm";"AAAA922346";"176.400000";"196.000000";"50";"Tea";"0";
"92";"Tata Tea Premium - Plastic Package";"Quantity";"250 gm";"AAAA922347";"91.800000";"102.000000";"50";"Tea";"0";
"92";"Tata Tea Premium - Plastic Package";"Quantity";"500 gm";"AAAAAA9288";"179.100000";"199.000000";"50";"Tea";"1";
"93";"TajMahal Darjeeling Tea - Carton Package";"Quantity";"250 gm";"AAAAAA9392";"103.500000";"115.000000";"50";"Tea";"1";
"93";"TajMahal Darjeeling Tea - Carton Package";"Quantity";"1 kg";"AAAAAA9393";"364.500000";"405.000000";"50";"Tea";"0";
"93";"TajMahal Darjeeling Tea - Carton Package";"Quantity";"500 gm";"AAAAAA9390";"192.600000";"214.000000";"50";"Tea";"0";
"93";"TajMahal Darjeeling Tea - Carton Package";"Quantity";"100 gm";"AAAAAA9391";"44.100000";"49.000000";"50";"Tea";"0";
"93";"TajMahal Darjeeling Tea - Carton Package";"Quantity";"250 gm";"AAAAAA9392";"103.500000";"115.000000";"50";"Tea";"1";
"93";"TajMahal Darjeeling Tea - Carton Package";"Quantity";"1 kg";"AAAAAA9393";"364.500000";"405.000000";"50";"Tea";"0";
"93";"TajMahal Darjeeling Tea - Carton Package";"Quantity";"500 gm";"AAAAAA9390";"192.600000";"214.000000";"50";"Tea";"0";
"93";"TajMahal Darjeeling Tea - Carton Package";"Quantity";"100 gm";"AAAAAA9391";"44.100000";"49.000000";"50";"Tea";"0";
"94";"Brooke Bond Taj Mahal - Tea Bag ";"Numbers";"25 bags";"AAAA942348";"45.000000";"50.000000";"50";"Tea Bags";"1";
"94";"Brooke Bond Taj Mahal - Tea Bag ";"Numbers";"25 bags";"AAAA942348";"45.000000";"50.000000";"50";"Tea Bags";"1";
"95";"Kohinoor Super Basmati Rice";"Quantity";"1 kg";"AAAAAA9594";"139.500000";"155.000000";"50";"Basmati Rice";"1";
"96";"Kohinoor Extra Long Basmati Rice";"Quantity";"1 kg";"AAAAAA9695";"179.100000";"199.000000";"50";"Basmati Rice";"1";
"96";"Kohinoor Extra Long Basmati Rice";"Quantity";"5 kg";"AAAAAA9696";"855.000000";"950.000000";"50";"Basmati Rice";"0";
"97";"Kohinoor Authentic Basmati Rice";"Quantity";"1 kg";"AAAAAA9797";"234.000000";"260.000000";"50";"Basmati Rice";"1";
"98";" India Gate Basmati Rice - Classic";"Quantity";"1 kg";"AAAAAA9898";"180.000000";"200.000000";"47";"Basmati Rice";"1";
"99";"Everest Dry Ginger (Dhaniya) Powder- Carton Pack";"Quantity";"100 gm";"AAAAAA9999";"76.500000";"85.000000";"50";"Powdered Masala";"1";
"99";"Everest Dry Ginger (Dhaniya) Powder- Carton Pack";"Quantity";"50 gm";"AAAA992349";"40.500000";"45.000000";"50";"Powdered Masala";"0";
"99";"Everest Dry Ginger (Dhaniya) Powder- Carton Pack";"Quantity";"100 gm";"AAAAAA9999";"76.500000";"85.000000";"50";"Powdered Masala";"1";
"99";"Everest Dry Ginger (Dhaniya) Powder- Carton Pack";"Quantity";"50 gm";"AAAA992349";"40.500000";"45.000000";"50";"Powdered Masala";"0";
"100";"Everest Cumin (Jeera) Powder -Carton Pack";"Quantity";"50 gm";"AAAA100100";"21.600000";"24.000000";"50";"Powdered Masala";"1";
"100";"Everest Cumin (Jeera) Powder -Carton Pack";"Quantity";"50 gm";"AAAA100100";"21.600000";"24.000000";"50";"Powdered Masala";"1";
"101";"Everest Black Pepper (Kali Mirch) - Carton Pack";"Quantity";"50 gm";"AAAA101101";"72.000000";"80.000000";"50";"Powdered Masala";"1";
"101";"Everest Black Pepper (Kali Mirch) - Carton Pack";"Quantity";"50 gm";"AAAA101101";"72.000000";"80.000000";"50";"Powdered Masala";"1";
"102";"Everest White Pepper Powder - Carton Pack";"Quantity";"50 gm";"AAAA102102";"106.200000";"118.000000";"50";"Powdered Masala";"0";
"102";"Everest White Pepper Powder - Carton Pack";"Quantity";"100 gm";"AAAA102103";"153.900000";"171.000000";"50";"Powdered Masala";"1";
"102";"Everest White Pepper Powder - Carton Pack";"Quantity";"50 gm";"AAAA102102";"106.200000";"118.000000";"50";"Powdered Masala";"0";
"102";"Everest White Pepper Powder - Carton Pack";"Quantity";"100 gm";"AAAA102103";"153.900000";"171.000000";"50";"Powdered Masala";"1";
"103";"Everest Kashmiri Lal (Teekha Powder) - Carton Pack ";"Quantity";"100 gm";"AAAA103104";"37.800000";"42.000000";"50";"Powdered Masala";"1";
